model,r2,mse,rmse,mae,seed_count
random_forest__gtmcc,-0.4037090835361958,204.9611877043894,14.316465614962004,8.078968696557412,1
multitask_elasticnet__gain,-2.1795507206842597,205.36841692287965,14.330680965079072,9.5143620620511,1
multitask_lasso__gain,-2.184479518049609,206.9476194964961,14.385674106432973,9.523163490896366,1
multitask_gp__softimpute,-0.6986796145180784,256.6307009112963,16.01969727901549,9.533759799989362,1
multioutput_svr__低秩矩阵,-3.657241058499498,263.4007250510557,16.229624920220914,12.054081123865032,1
multioutput_gp__softimpute,-0.7724233011987383,266.53067247968426,16.32576713296145,9.61320856811311,1
multioutput_svr__miwae,-2.7700714019122405,271.26563396542883,16.470143714170465,11.599115757350985,1
multitask_gp__miwae,-2.6901218276817547,336.2471933360374,18.33704429116201,12.370222281319146,1
multitask_gp__低秩矩阵,-3.770892405684532,379.1821761288329,19.47260065139818,13.514604660026594,1
ridge__softimpute,-1.2319632155245095,396.4906398123355,19.91207271512274,11.579021629020325,1
multitask_elasticnet__softimpute,-1.2349265190409602,397.3060627491057,19.932537789983133,11.592786314453086,1
multitask_lasso__softimpute,-1.2371708279847675,397.9443713107515,19.94854308742249,11.603240712336625,1
multioutput_gp__miwae,-3.373495314477717,419.97659724769466,20.49333055527321,13.90886929963481,1
multioutput_gp__低秩矩阵,-4.433975678283477,440.9907382731385,20.99977948153596,14.872563253573553,1
ridge__低秩矩阵,-4.107839093056112,565.9191299107009,23.78905483432877,16.03369910479105,1
multitask_elasticnet__低秩矩阵,-4.106589973919218,566.3442571918765,23.797988511466183,16.038237068970467,1
multitask_lasso__低秩矩阵,-4.105744286136936,566.6951159053295,23.80535897451096,16.041877838434786,1
multitask_gp__gtmcc,-1.708128157071631,623.5387247894732,24.970757393188403,13.831227062968082,1
ridge__gtmcc,-2.1421795990392174,650.3677209922016,25.50230815028713,14.313668221100976,1
ridge__miwae,-3.685623640014637,702.1883197322959,26.4988361958086,16.798283178712765,1
multitask_elasticnet__miwae,-3.6876761962142552,703.8575970374781,26.53031468033273,16.81552904424468,1
multitask_lasso__miwae,-3.6893584261010335,705.1595796197505,26.554840982761515,16.82919748823404,1
multitask_elasticnet__gtmcc,-2.4899289340423283,729.9489127385141,27.017566743482178,15.128510926360924,1
multitask_lasso__gtmcc,-3.0909592605174567,864.923910667646,29.40958875380011,16.37747227140964,1
multioutput_gp__gtmcc,-11.496138797262002,3198.8509018060863,56.558384893896026,27.697622009239133,1
