1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength
932.0,52.5,1,0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,40.0,40.0,141.0
921.5,52.5,1,0,0.0,0.0,255.0,28.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,40.0,40.0,143.0
912.0,52.5,1,0,0.0,0.0,255.0,38.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,40.0,40.0,142.0
950.0,52.5,1,0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,90,40.0,40.0,141.0
941.5,52.5,1,0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,90,40.0,40.0,142.0
932.0,52.5,1,0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,90,40.0,40.0,143.0
921.5,52.5,1,0,0.0,0.0,255.0,28.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,90,40.0,40.0,147.0
912.0,52.5,1,0,0.0,0.0,255.0,38.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,90,40.0,40.0,144.0
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,61.0
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,40.0,160.0,61.0
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,40.0,160.0,61.0
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,40.0,160.0,61.0
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,40.0,160.0,61.0
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,63.0
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,40.0,160.0,62.0
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,40.0,160.0,62.0
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,40.0,160.0,62.0
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,40.0,160.0,62.0
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,40.0,160.0,69.0
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,40.0,160.0,69.0
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,40.0,160.0,69.0
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,40.0,160.0,69.0
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58.0,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,40.0,160.0,69.0
