1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength,Flexural strength,_merge
792.0,42.5,1.0,1.0,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0.0,0.0,2.0,0.2,13.0,90.0,40.0,160.0,162.47,27.5,both
784.0,42.5,1.0,1.0,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0.0,0.0,3.0,0.2,13.0,90.0,40.0,160.0,169.0,39.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,160.0,93.0,14.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,6.0,7.0,40.0,160.0,118.0,25.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,8.0,7.0,40.0,160.0,121.0,28.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,10.0,7.0,40.0,160.0,108.0,21.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,11.0,7.0,40.0,160.0,103.0,17.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,13.0,7.0,40.0,160.0,100.0,16.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,160.0,96.0,18.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,6.0,28.0,40.0,160.0,136.0,25.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,8.0,28.0,40.0,160.0,144.0,27.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,10.0,28.0,40.0,160.0,130.0,21.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,11.0,28.0,40.0,160.0,126.0,17.0,both
472.0,42.5,1.0,1.0,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0.0,0.0,2.0,0.2,13.0,28.0,40.0,160.0,122.0,16.0,both
950.0,52.5,1.0,0.0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,40.0,105.0,,left_only
941.5,52.5,1.0,0.0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,40.0,108.0,,left_only
932.0,52.5,1.0,0.0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,40.0,112.0,,left_only
921.5,52.5,1.0,0.0,0.0,0.0,255.0,28.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,40.0,118.0,,left_only
912.0,52.5,1.0,0.0,0.0,0.0,255.0,38.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,40.0,115.0,,left_only
950.0,52.5,1.0,0.0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,40.0,136.0,,left_only
941.5,52.5,1.0,0.0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,40.0,139.0,,left_only
932.0,52.5,1.0,0.0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,40.0,141.0,,left_only
921.5,52.5,1.0,0.0,0.0,0.0,255.0,28.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,40.0,143.0,,left_only
912.0,52.5,1.0,0.0,0.0,0.0,255.0,38.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,28.0,40.0,40.0,142.0,,left_only
950.0,52.5,1.0,0.0,0.0,0.0,255.0,0.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,90.0,40.0,40.0,141.0,,left_only
941.5,52.5,1.0,0.0,0.0,0.0,255.0,9.5,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,90.0,40.0,40.0,142.0,,left_only
932.0,52.5,1.0,0.0,0.0,0.0,255.0,19.0,0.0,873.0,0.0,0.6,0.0,189.0,31.0,0.0,0.0,0.0,2.5,0.2,13.0,90.0,40.0,40.0,143.0,,left_only
