slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_106,5069,12120,250,28142,0.22,2406,-0.32,-3.85,-1.67,500,90,1013,2424,4055,2424,1013,9696,4055,9696,-362.8,-19.7,-236.9,-102.4,362.8,19.7,236.9,102.4
slab_107,5811,8802,220,34762,0.21,2465,-0.48,-2.62,-1.63,750,45,1162,1760,4648,1760,1162,7041,4648,7041,-272.104,-24.504,-133.9,-83.432,272.104,24.504,133.9,83.432
slab_108,7886,12061,220,34019,0.2,2522,-0.42,-4.72,-2.85,1000,90,1577,2412,6308,2412,1577,9648,6308,9648,-517.756,-40.032,-448.992,-271.056,517.757,40.032,448.992,271.056
slab_109,6444,11342,220,35199,0.19,2458,-0.8,-2.31,-1.57,500,0,1288,2268,5155,2268,1288,9073,5155,9073,-387.916,-58.608,-169.268,-114.628,387.916,58.608,169.268,114.628
slab_110,6179,8047,250,35325,0.21,2587,-0.73,-2.08,-1.24,750,0,1235,1609,4943,1609,1235,6437,4943,6437,-315.444,-36.3,-103.4,-61.692,315.444,36.3,103.4,61.692
slab_111,6842,10170,200,34259,0.19,2477,-0.8,-3.73,-1.74,750,90,1368,2034,5473,2034,1368,8136,5473,8136,-338.22,-55.8,-259.62,-121.2,338.22,55.8,259.62,121.2
slab_112,5575,13239,200,29208,0.21,2450,-0.35,-2.71,-1.23,750,90,1115,2647,4460,2647,1115,10591,4460,10591,-354.872,-25.736,-199.988,-90.828,354.872,25.736,199.988,90.828
slab_113,5672,10699,180,28262,0.21,2405,-0.93,-3.41,-1.7,500,0,1134,2139,4537,2139,1134,8559,4537,8559,-257.768,-56.36,-206.908,-102.98,257.769,56.36,206.908,102.98
slab_114,4322,13836,200,35427,0.2,2450,-0.66,-3.92,-2.29,750,0,864,2767,3457,2767,864,11068,3457,11068,-287.492,-39.36,-234.36,-136.96,287.492,39.36,234.36,136.96
slab_115,7215,11855,250,33574,0.2,2443,-0.78,-3.33,-2.08,1000,90,1443,2371,5772,2371,1443,9484,5772,9484,-512.472,-66.616,-284.912,-177.984,512.472,66.616,284.912,177.984
